Id,Title,Category,Diagram,Interaction,Priority,State,Description,Justification,Last Modified
382,Potential Data Repudiation by Backend,Repudiation,App Turismo Inteligente,Read,High,Mitigated,"Backend claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.","Analytical mitigation specified by CTL-STR-10 (CT-STR-10), same threat family as representative ID 353. Proposed control: non-repudiation and traceability of relevant system actions. Expected evidence: correlated logs, transaction IDs/signatures, and auditable trails.",05/05/2026 23:02:00
381,Spoofing of Source Data Store Database,Spoofing,App Turismo Inteligente,Read,High,Mitigated,Database may be spoofed by an attacker and this may lead to incorrect data delivered to Backend. Consider using a standard authentication mechanism to identify the source data store.,"Analytical mitigation specified by CTL-STR-06 (CT-STR-06). Proposed control: protection of personal-data persistence and operational states. Expected evidence: encryption, granular access control, backups, and authorization/recovery tests.",05/05/2026 23:01:48
380,Spoofing the Backend Process,Spoofing,App Turismo Inteligente,Read,High,Mitigated,Backend may be spoofed by an attacker and this may lead to information disclosure by Database. Consider using a standard authentication mechanism to identify the destination process.,"Analytical mitigation specified by CTL-STR-06 (CT-STR-06). Proposed control: protection of personal-data persistence and operational states. Expected evidence: encryption, granular access control, backups, and authorization/recovery tests.",05/05/2026 23:01:39
379,Elevation Using Impersonation,Elevation Of Privilege,App Turismo Inteligente,Internal Response,High,Mitigated,API may be able to impersonate the context of Backend in order to gain additional privilege.,"Analytical mitigation specified by CTL-STR-08.A, CTL-STR-08.B (CT-STR-08), same threat family as representative ID 357. Proposed control: least privilege, operational-access segregation, and input validation. Expected evidence: RBAC, administrative profiles, input validation, and cybersecurity tests.",05/05/2026 23:01:29
378,Backend Process Memory Tampered,Tampering,App Turismo Inteligente,Internal Response,High,Not Applicable,"If Backend is given access to memory, such as shared memory or pointers, or is given the ability to control what API executes (for example, passing back a function pointer.), then Backend can tamper with API. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.","NA-2. Not applicable: the threat assumes shared memory or direct execution control, while the DFD models separate components without shared memory.",05/05/2026 22:58:12
388,Elevation by Changing the Execution Flow in Backend,Elevation Of Privilege,App Turismo Inteligente,Read,High,Mitigated,An attacker may pass data into Backend in order to change the flow of program execution within Backend to the attacker's choosing.,"Analytical mitigation specified by CTL-STR-08.A, CTL-STR-08.B (CT-STR-08), same threat family as representative ID 357. Proposed control: least privilege, operational-access segregation, and input validation. Expected evidence: RBAC, administrative profiles, input validation, and cybersecurity tests.",05/05/2026 23:03:00
387,Backend May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,App Turismo Inteligente,Read,High,Mitigated,Database may be able to remotely execute code for Backend.,"Analytical mitigation specified by CTL-STR-06 (CT-STR-06). Proposed control: protection of personal-data persistence and operational states. Expected evidence: encryption, granular access control, backups, and authorization/recovery tests.",05/05/2026 23:02:49
386,Data Store Inaccessible,Denial Of Service,App Turismo Inteligente,Read,High,Mitigated,An external agent prevents access to a data store on the other side of the trust boundary.,"Analytical mitigation specified by CTL-STR-06 (CT-STR-06), same threat family as representative ID 22. Proposed control: protection of personal-data persistence and operational states. Expected evidence: encryption, granular access control, backups, and authorization/recovery tests.",05/05/2026 23:02:38
385,Data Flow Read Is Potentially Interrupted,Denial Of Service,App Turismo Inteligente,Read,High,Mitigated,An external agent interrupts data flowing across a trust boundary in either direction.,"Analytical mitigation specified by CTL-STR-04.A, CTL-STR-04.B (CT-STR-04), same threat family as representative ID 23. Proposed control: resource-consumption limits and controlled degradation of critical flows. Expected evidence: rate limits, quotas, timeouts, load tests, fallback, and recovery tests.",05/05/2026 23:02:29
425,Insufficient Auditing,Repudiation,App Turismo Inteligente,Audit Log,High,Mitigated,Does the log capture enough data to understand what happened in the past? Do your logs capture enough data to understand an incident after the fact? Is such capture lightweight enough to be left on all the time? Do you have enough data to deal with repudiation claims? Make sure you log sufficient and appropriate data to handle a repudiation claims. You might want to talk to an audit expert as well as a privacy expert about your choice of data.,"Analytical mitigation specified by CTL-STR-05.A (CT-STR-05.A). Proposed control: authenticated, integrity-protected, tamper-resistant audit trails. Expected evidence: signed logs, append-only trails, and integrity checks.",05/05/2026 23:08:05
424,Data Logs from an Unknown Source,Repudiation,App Turismo Inteligente,Audit Log,High,Mitigated,Do you accept logs from unknown or weakly authenticated users or systems? Identify and authenticate the source of the logs before accepting them.,"Analytical mitigation specified by CTL-STR-05.A (CT-STR-05.A). Proposed control: authenticated, integrity-protected, tamper-resistant audit trails. Expected evidence: signed logs, append-only trails, and integrity checks.",05/05/2026 23:07:56
423,Lower Trusted Subject Updates Logs,Repudiation,App Turismo Inteligente,Audit Log,High,Mitigated,"If you have trust levels, is anyone other outside of the highest trust level allowed to log? Letting everyone write to your logs can lead to repudiation problems. Only allow trusted code to log.","Analytical mitigation specified by CTL-STR-05.A (CT-STR-05.A). Proposed control: authenticated, integrity-protected, tamper-resistant audit trails. Expected evidence: signed logs, append-only trails, and integrity checks.",05/05/2026 23:07:49
384,Potential Process Crash or Stop for Backend,Denial Of Service,App Turismo Inteligente,Read,High,Mitigated,"Backend crashes, halts, stops or runs slowly; in all cases violating an availability metric.","Analytical mitigation specified by CTL-STR-04.A, CTL-STR-04.B (CT-STR-04), same threat family as representative ID 23. Proposed control: resource-consumption limits and controlled degradation of critical flows. Expected evidence: rate limits, quotas, timeouts, load tests, fallback, and recovery tests.",05/05/2026 23:02:18
22,Spoofing of Destination Data Store Database,Spoofing,App Turismo Inteligente,Write,High,Mitigated,Database may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of Database. Consider using a standard authentication mechanism to identify the destination data store.,"Analytical mitigation specified by CTL-STR-06 (CT-STR-06). Proposed control: protection of personal-data persistence and operational states. Expected evidence: encryption, granular access control, backups, and authorization/recovery tests.",05/05/2026 22:54:31
23,Potential Excessive Resource Consumption for Backend or Database,Denial Of Service,App Turismo Inteligente,Write,High,Mitigated,"Does Backend or Database take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.","Analytical mitigation specified by CTL-STR-04.A, CTL-STR-04.B (CT-STR-04). Proposed control: resource-consumption limits and controlled degradation of critical flows. Expected evidence: rate limits, quotas, timeouts, load tests, fallback, and recovery tests.",05/05/2026 22:54:37
377,Elevation Using Impersonation,Elevation Of Privilege,App Turismo Inteligente,Internal Request,High,Mitigated,Backend may be able to impersonate the context of API in order to gain additional privilege.,"Analytical mitigation specified by CTL-STR-08.A, CTL-STR-08.B (CT-STR-08). Proposed control: least privilege, operational-access segregation, and input validation. Expected evidence: RBAC, administrative profiles, input validation, and cybersecurity tests.",05/05/2026 23:01:20
293,Potential Excessive Resource Consumption for Backend or Logs/Audit,Denial Of Service,App Turismo Inteligente,Audit Log,High,Mitigated,"Does Backend or Logs/Audit take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.","Analytical mitigation specified by CTL-STR-05.C (CT-STR-05.C). Proposed control: continuity and recovery of log writing. Expected evidence: resilient buffering, rotation/retention, backups, and logging-failure tests.",05/05/2026 22:55:14
292,Spoofing of Destination Data Store Logs/Audit,Spoofing,App Turismo Inteligente,Audit Log,High,Mitigated,Logs/Audit may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of Logs/Audit. Consider using a standard authentication mechanism to identify the destination data store.,"Analytical mitigation specified by CTL-STR-05.A (CT-STR-05.A). Proposed control: authenticated, integrity-protected, tamper-resistant audit trails. Expected evidence: signed logs, append-only trails, and integrity checks.",05/05/2026 22:54:43
448,Elevation Using Impersonation,Elevation Of Privilege,App Turismo Inteligente,Request,High,Mitigated,Browser Client may be able to impersonate the context of Operations Team in order to gain additional privilege.,"Analytical mitigation specified by CTL-STR-09 (CT-STR-09), same threat family as representative ID 445. Proposed control: sensitive actions must be performed by an authenticated and authorized data subject or operator, with explicit confirmation and risk-based reauthentication. Expected evidence: strong authentication, MFA for operational access, reauthentication and confirmation records, session controls and audit trails, request-forgery protection, and secure session binding when justified by the risk analysis.",05/05/2026 23:10:55
447,Spoofing the Operations Team External Entity,Spoofing,App Turismo Inteligente,Request,High,Mitigated,Operations Team may be spoofed by an attacker and this may lead to unauthorized access to Browser Client. Consider using a standard authentication mechanism to identify the external entity.,"Analytical mitigation specified by CTL-STR-09 (CT-STR-09). Proposed control: sensitive actions must be performed by an authenticated and authorized data subject or operator, with explicit confirmation and risk-based reauthentication. Expected evidence: strong authentication, MFA for operational access, reauthentication and confirmation records, session controls and audit trails, request-forgery protection, and secure session binding when justified by the risk analysis.",05/05/2026 23:10:47
350,Data Store Inaccessible,Denial Of Service,App Turismo Inteligente,Audit Log,High,Mitigated,An external agent prevents access to a data store on the other side of the trust boundary.,"Analytical mitigation specified by CTL-STR-05.C (CT-STR-05.C). Proposed control: continuity and recovery of log writing. Expected evidence: resilient buffering, rotation/retention, backups, and logging-failure tests.",05/05/2026 22:56:50
349,Data Flow Audit Log Is Potentially Interrupted,Denial Of Service,App Turismo Inteligente,Audit Log,High,Mitigated,An external agent interrupts data flowing across a trust boundary in either direction.,"Analytical mitigation specified by CTL-STR-05.C (CT-STR-05.C). Proposed control: continuity and recovery of log writing. Expected evidence: resilient buffering, rotation/retention, backups, and logging-failure tests.",05/05/2026 22:56:43
348,Weak Credential Transit,Information Disclosure,App Turismo Inteligente,Audit Log,High,Mitigated,"Credentials on the wire are often subject to sniffing by an attacker. Are the credentials re-usable/re-playable? Are credentials included in a message? For example, sending a zip file with the password in the email. Use strong cryptography for the transmission of credentials. Use the OS libraries if at all possible, and consider cryptographic algorithm agility, rather than hardcoding a choice.","Analytical mitigation specified by CTL-STR-05.B (CT-STR-05.B). Proposed control: confidentiality and access protection for audit logs. Expected evidence: encryption, RBAC, access reviews, and unauthorized-access tests.",05/05/2026 22:56:37
347,Data Flow Sniffing,Information Disclosure,App Turismo Inteligente,Audit Log,High,Mitigated,"Data flowing across Audit Log may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.","Analytical mitigation specified by CTL-STR-05.B (CT-STR-05.B). Proposed control: confidentiality and access protection for audit logs. Expected evidence: encryption, RBAC, access reviews, and unauthorized-access tests.",05/05/2026 22:56:30
346,Data Store Denies Logs/Audit Potentially Writing Data,Repudiation,App Turismo Inteligente,Audit Log,High,Mitigated,"Logs/Audit claims that it did not write data received from an entity on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.","Analytical mitigation specified by CTL-STR-05.A (CT-STR-05.A). Proposed control: authenticated, integrity-protected, tamper-resistant audit trails. Expected evidence: signed logs, append-only trails, and integrity checks.",05/05/2026 22:56:21
336,Data Store Inaccessible,Denial Of Service,App Turismo Inteligente,Write,High,Mitigated,An external agent prevents access to a data store on the other side of the trust boundary.,"Analytical mitigation specified by CTL-STR-06 (CT-STR-06). Proposed control: protection of personal-data persistence and operational states. Expected evidence: encryption, granular access control, backups, and authorization/recovery tests.",05/05/2026 22:56:04
335,Data Flow Write Is Potentially Interrupted,Denial Of Service,App Turismo Inteligente,Write,High,Mitigated,An external agent interrupts data flowing across a trust boundary in either direction.,"Analytical mitigation specified by CTL-STR-04.A, CTL-STR-04.B (CT-STR-04). Proposed control: resource-consumption limits and controlled degradation of critical flows. Expected evidence: rate limits, quotas, timeouts, load tests, fallback, and recovery tests.",05/05/2026 22:55:57
334,Weak Credential Transit,Information Disclosure,App Turismo Inteligente,Write,High,Mitigated,"Credentials on the wire are often subject to sniffing by an attacker. Are the credentials re-usable/re-playable? Are credentials included in a message? For example, sending a zip file with the password in the email. Use strong cryptography for the transmission of credentials. Use the OS libraries if at all possible, and consider cryptographic algorithm agility, rather than hardcoding a choice.","Analytical mitigation specified by CTL-STR-06 (CT-STR-06). Proposed control: protection of personal-data persistence and operational states. Expected evidence: encryption, granular access control, backups, and authorization/recovery tests.",05/05/2026 22:55:49
333,Data Flow Sniffing,Information Disclosure,App Turismo Inteligente,Write,High,Mitigated,"Data flowing across Write may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.","Analytical mitigation specified by CTL-STR-06 (CT-STR-06). Proposed control: protection of personal-data persistence and operational states. Expected evidence: encryption, granular access control, backups, and authorization/recovery tests.",05/05/2026 22:55:42
332,Data Store Denies Database Potentially Writing Data,Repudiation,App Turismo Inteligente,Write,High,Mitigated,"Database claims that it did not write data received from an entity on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.","Analytical mitigation specified by CTL-STR-06 (CT-STR-06). Proposed control: protect personal-data persistence and produce verifiable transactional confirmation for every critical write. Expected evidence: transaction ID, write acknowledgment, correlated audit trail, encryption, granular authorization, tested backup, and recovery tests.",05/05/2026 22:55:31
331,The Database Data Store Could Be Corrupted,Tampering,App Turismo Inteligente,Write,High,Mitigated,Data flowing across Write may be tampered with by an attacker. This may lead to corruption of Database. Ensure the integrity of the data flow to the data store.,"Analytical mitigation specified by CTL-STR-06 (CT-STR-06). Proposed control: protection of personal-data persistence and operational states. Expected evidence: encryption, granular access control, backups, and authorization/recovery tests.",05/05/2026 22:55:23
419,Replay Attacks,Tampering,App Turismo Inteligente,Admin Response,High,Mitigated,Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,"Analytical mitigation specified by CTL-STR-02 (CT-STR-02). Proposed control: message integrity, freshness, and anti-replay protection for critical flows. Expected evidence: nonce/timestamp, correlation IDs, anti-replay tests, and rejection logs.",05/05/2026 23:07:15
383,Weak Access Control for a Resource,Information Disclosure,App Turismo Inteligente,Read,High,Mitigated,Improper data protection of Database can allow an attacker to read information not intended for disclosure. Review authorization settings.,"Analytical mitigation specified by CTL-STR-06 (CT-STR-06). Proposed control: protection of personal-data persistence and operational states. Expected evidence: encryption, granular access control, backups, and authorization/recovery tests.",05/05/2026 23:02:09
